Álbum,Título,Letra
Parte de la Religión,Parte de la Religión,"Él no camina en barrios suburbanos
Él es un hombre decente
Él nunca toca la gente con las manos
Él es tan independiente

Es parte de la religión
Es parte de la religión
Es parte de la religión

Él siente culpa, él vive torturado
Él no es tan inteligente
Él nunca avanza, camina de costado
Él tiene miedo a su mente

Es parte de la religión
Es parte de la religión
Es parte de la religión

Ella se desnuda y se desviste tan lésbicamente
Que no puedo dejar de sonreír
Todo se construye y se destruye tan rápidamente
Que no puedo dejar de sonreír

Es parte de la religión
(Matar)
Es parte de la religión
(Mentir)
Es parte de la religión"
Parte de la Religión,Rap de las Hormigas,"Vamos al campo a descansar
No queda nada, nada, nada que jalar
Es vacaciones, me quiero ir
A ver las focas y el casino en la Feliz

No me banco las hormigas
Por favor, pasame el Raid (Ay)

No tengo teca, no tengo grass
Y la heladera no funciona porque la misma es a gas
¿Comida? No hay más
Estoy en el medio de la selva, esto no lo aguanto más

No me banco las hormigas
Yo me vuelvo a la ciudad (Ah)"
Parte de la Religión,Adela en el Carrousell,"Adela en el carrousell
Y los espejos son sonrisas; la sortija, un aparato de amor
Adela en el carrousell
Y los caballos de madera que la mecen y le mojan la piel

Ten piedad, no seas así
No le des patadas a los locos
Ten piedad, no seas así
Voy desvaneciendo sin tu amor

El sol empieza a salir
Y en los jardines de su mente, hay estatuas que ella debe pulir
La luna empieza a llorar
Y cuando todo es tan plateado, hay colores que no pueden entrar

Ten piedad, no seas así
No le des patadas a los locos
Ten piedad, no seas así
Voy desvaneciendo sin tu amor

Y a través de la sortija, ella lo convirtió
En un caballo que gira y gira a su alrededor
Tanto girar, girar es un defecto
Tanto esperar, esperando que se haga realidad
Él se pasa girando sin parar
Nada es perfecto


(Adela en el más allá)
Es una estrella clandestina que ilumina los despojos de amor
(Él sólo quiere mirar)
La calesita de los sueños que se fueron y ya no volverán

Ten piedad, no seas así
No le des patadas a los locos
Ten piedad, no seas así
Voy desvaneciendo sin tu amor"
Parte de la Religión,No Voy en Tren,"No voy en tren, voy en avión
No necesito a nadie, a nadie alrededor
No voy en tren, voy en avión
No necesito a nadie, a nadie alrededor

Porque no hay nadie que mi piel resista
Porque no hay nadie que yo quiera ver
No veo televisión ni las revistas
No veo ya nada que no pueda ser

Por eso yo no voy en tren, voy en avión
No necesito a nadie, a nadie alrededor
No voy en tren, voy en avión
No necesito a nadie, a nadie alrededor

Cuando era niño, nunca fui muy listo
Tocaba el piano como un animal
Yo sé que algunos piensan que soy mixto
Pero yo tengo personalidad

Yo soy de la cruz del sur
Soy el que cierra y el que apaga la luz
Yo soy de la cruz del sur
Aquí y en everywhere


(Ah-ah, ah-ah)
(Ah-ah, ah-ah)
No voy en tren, voy en avión
No voy en tren, voy en avión
(Ah-ah, ah-ah)
(Ah-ah, ah-ah)
(Ah-ah, ah-ah) (Ah-ah, ah-ah)
(Ah-ah, ah-ah) (Ah-ah, ah-ah)"
Parte de la Religión,Rezo Por Vos,"La indómita luz se hizo carne en mí
Y lo dejé todo por esta soledad
Y leo revistas en la tempestad
Hice el sacrificio, abracé la cruz al amanecer

Rezo, rezo
Rezo, rezo

Morí sin morir y me abracé al dolor
Y lo dejé todo por esta soledad
Ya se hizo de noche y ahora estoy aquí
Mi cuerpo se cae, sólo veo la cruz al amanecer

Rezo, rezo
Rezo, rezo por vos

Y curé mis heridas
Y me encendí de amor
Y quemé las cortinas
Y me encendí de amor, de amor sagrado

Y entonces, y entonces
Y entonces, y entonces
Y entonces, y entonces
Y entonces, y entonces
Rezo

Y curé mis heridas
Y me encendí de amor
Y quemé las cortinas
Y me encendí de amor, de amor sagrado

Rezo, rezo
Rezo, rezo por vos"
Parte de la Religión,El Karma de Vivir Al Sur,"Me vas a hacer feliz
Vas a matarme con tu forma de ser
Me vas a hacer reír
Vas a matarme con tu forma de ser

Me vas a hacer feliz
Vas a mostrarme ese lado inconcluso
Me vas a hacer reír
Vas a mostrarme lo que no puede ser

Me vas a hacer feliz
Vas a matarme con tu forma de ser
Me vas a hacer reír
Vas a matarme con tu forma de ser

No voy a desistir
Aunque me digan que todo es tan iluso
No voy a desistir
Aunque me digan que ya no hay nada más

Sentir hasta resistir
El karma de vivir al sur
Sentir hasta resistir
El karma de vivir sin luz

Yo sé que un día ya no habrá perdón
Yo sé que un día no habrá confusión
Porque si confías en mí
Todo estará siempre

Me vas a hacer feliz
Me vas a hacer feliz
Me vas a hacer feliz
Me vas a hacer feliz"
Parte de la Religión,Ella Adivinó,"Ella adivinó
Ella adivinó, ella adivinó

Ella adivinó todo lo que yo estaba pensando
Ella adivinó, ella sólo, sólo adivinó
Ella adivinó todo lo que me estaba pasando
Ella adivinó, ella sólo, sólo adivinó

Con un juego, una canción
Cambiaste este pequeño amor bajo el sol

¿Cuánto tiempo más yo te seguiré esperando?
¿Cuánto tiempo más dime sólo cuánto tiempo más?
¿Cuánto tiempo más seguirá mi corazón sangrando?
¿Cuánto tiempo más dime sólo cuánto tiempo más?

Como un perro en la prisión
Recuerdo este pequeño amor bajo el sol

(Aaah-aaah-aaah
Aaah-aaah-aaah
Aaah-aaah-aaah)"
Parte de la Religión,La Ruta del Tentempié,"Éxtasis
Todo el tiempo vivo en éxtasis
Una forma de amor
Un remedio de ser feliz
Es para mí
Todo el tiempo vivo en éxtasis
Un misterio de amor
Una forma de ser feliz

Nunca me animé a decirte nada
Nunca me animé a mostrar mi amor
Nunca penetré en tu mirada

Éxtasis
Todo el mundo quiere éxtasis
Un misterio de amor
Una forma de ser feliz


Resiste
Yo sé que existe amor en tu piel
Resiste
Yo sé que existe amor en tu piel

Y no voy a esperar, y no voy a correr
Y no voy a ganar, y no voy a perder
Soy un típico ser en la ruta del tentempié"
Cómo Conseguir Chicas,No Toquen,"Están muertos, están muertos, están muertos
Están muertos, están muertos, están muertos
Váyanse de aquí, váyanse de aquí, váyanse
Muertos

No me toquen mis discos
No me toquen mi ajuar
No me toquen las manos
Ya no me toquen, ¡no!

Están muertos, están muertos, están muertos
Están muertos, están muertos, están muertos
Sáquenme de aquí, sáquenme de aquí
Sáquenme

Ya no me toquen, ¡no!

No toquen, no toquen, no toquen, no
No toquen, no quiero que me toquen, no toquen, ¡no!
No toquen, no toquen, no toquen, no
No toquen, no quiero que me toquen, ya no me toquen, ¡no!
(¡Ah!)"
Cómo Conseguir Chicas,Zocacola,"Ella busca en los jazmines
Él la busca en la ciudad
Ella sueña encontrar
Él intenta soñar, pero ella no está (Ah-ah-ah)

Ela vai onde imagina
Que ele pense que ela esta
Ele sonha na noite
Ela escuta os ecos do dia

¿Dónde está?
¿Onde está?
¡Ela passa tão perto e não ve!
Quizás hoy no es el día
Ella llora en los jardines (Uh)
Él está cansado de llorar
Ela não tem o que quer
E ele tem o que ela precisa

¿Dónde está?

Oooh-oh-oh-oh
Oooh-oh-oh-oh
Oooh-oh-oh-oh"
Cómo Conseguir Chicas,Fanky,"No voy a parar, yo no tengo dudas
No voy a bajar, déjalo que suba
Por eso no quiero parar, ya no tengo dudas
No voy a bajar, déjalo que suba

Gozar es tan parecido al amor
Gozar es tan diferente al dolor

Él cambió una dirección
Otra oportunidad merece alguna decisión
(Uh-uh-uh-uh; ¡basta!)

No voy a parar, yo no tengo dudas
No voy a bajar, déjalo que suba

Gozar es tan parecido al amor
Gozar es tan diferente a matar

Cuando pienso en el fin
Cuando pienso en todo lo que dí
Cuando sueño el final
Cuando sueño que todo va a acabar

Gozar es tan necesario, mi amor
Gozar es tan diferente al dolor"
Cómo Conseguir Chicas,No Me Verás en el Subte,"No me verás, no me verás, no me verás en el subte
No me verás, no me verás, no me verás en el subte
No me verás, no me verás

La llave que yo tengo puede abrir
Tan solo el corazón de los extraños
Las almas que no tienen dónde ir
Se vuelven a reunir en subterráneos

Oh, me tengo que esconder
Oh, me tengo que esconder


Jamás me encontrarás de nuevo aquí
Sé que hubo una traición, hubo un engaño


Oh, me tengo que esconder
Oh, me tengo que esconder


Yo recuerdo tu piel, yo recuerdo tu voz
Como las estaciones, yo te vi reír
Ya no llores

No me verás, no me hablarás
No me verás, no me verás"
Cómo Conseguir Chicas,Ella Es Bailarina,"Ella es bailarina, ella es bailarina
Y sabe todo lo que debe saber
Pero todavía hay algo que no pudo hacer
Es un buen maestro, es un buen maestro
Y sabe todo lo que debe saber
Pero todavía hay algo que no pudo aprender

Ella se saca la estola de visón
Y el soutien dorado, y el soutien dorado
Él pone fuego en el calefón
Y juntos se bañan los dos

Es un policía, es un policía
Y siempre cumple con su justo deber
Pero todavía hay algo que no pudo hacer (Pero hay algo que no pudo hacer; que no pudo hacer, eh)


Cuando el maestro debe ir a estudiar
Llega el azulado, llega el azulado
Deja la guardia en la seccional
Tan solo para verla bailar

Es un sacerdote, es un sacerdote
Y siempre cumple con su santo deber
En un club nocturno reventado los casó a los tres (Los casó a los tres)

En un club nocturno reventado
Los casó a los tres
En un club nocturno reventado
Los casó a los tres (Los casó a los tres)"
Cómo Conseguir Chicas,Anhedonia,"El tiempo vuelve a pasar
Pero no hay primavera en Anhedonia
El tiempo vuelve a llorar
Pero no hay primavera en Anhedonia

Y aunque las luces son suaves
Y el cine está aquí
No hay nada que hacer, de noche no pasa nada
(Nada más que el tren)

Un ángel vuela en París
Y un chico nace casi en Anhedonia
Está tan lejos de aquí
Porque ella solo vive en Anhedonia

Ella hizo un pacto de sangre
A pesar de mí
No tengo que hacer maletas, no siento nada
(Nada más en mí)


No, no tengo que volver
Hay sangre en la calle, calle
Ay, no hay que vivir así
Porque antes que tu madre
Mucho antes que el dolor
¡El amor cambia tu sangre!

Y aunque la noche es tan suave
Y el tiempo feliz
No tengo que hacer maletas, no siento nada"
Cómo Conseguir Chicas,Suicida,"Todo el mundo en la ciudad
Es un suicida
Es un suicida
Y es la verdad
Todo el mundo en la ciudad
Es un suicida
Tiene una herida
Y es la verdad
Quisiera ver ese mar al amanecer
(Preciso tiempo para crecer)
Quisiera ver ese mar
Y veo esta pared
¡Yo ya no se qué hacer!
Todo gato en la ciudad
Tiene mil vidas
Tiene mil vidas
Y es la verdad
Todo el mundo sabe bien
Que no hay salida
Somos suicidas
Y es la verdad
Pero si vas hacia el mar al amanecer
Quizás extrañes a la pared
Somos estatuas de sal
Queremos volver
¡Yo ya no miro atrás
Ya no queda mucho más!
(Ahora no pregunto más adónde va la estrada
Ahora ya no espero más aquella madrugada)"
Cómo Conseguir Chicas,Fantasy,"Siempre que salgo tengo al lado un monitor
Y no se quién está aquí
Alguien me llama por el maldito amor
Y no sé quién está aquí
No conozco a nadie
Y todos saben de mí
Pero es así
Porque siempre estoy en Fantasy

Cuando estoy sólo ya no sé por quien vivir
Porque nunca estás aquí
Ya mis pies congelados llegan hasta mí
Porque nunca estás aquí
No sabes de nada
Y todos hablan de ti
Pero es así
Porque siempre estás en Fantasy

Fantasy es un lugar
Del que nadie puede regresar
Del que nadie puede regresar
Fantasy es ilusión
Porque nunca hay nadie alrededor
Porque nunca hay nadie alrededor


No conozco a nadie
Quisiera verte a ti
Pero es así
Porque siempre estás-

Fantasy es un lugar
Del que nadie puede regresar
Del que nadie puede regresar
Fantasy es ilusión
Porque nunca hay nadie alrededor
Porque nunca hay nadie alrededor"
Cómo Conseguir Chicas,A Punto de Caer,"Viajaste de verdad
Pasaste sustos
Saltaste la pared
Cambiando
Yo estaba en un lugar
A punto de caer
Y aunque te parezca extraño
Música es lo que das
Si estás así
Piensa
El problema no está aquí
Cambiar es bien
Aún sin amor
Aún sin creer
Entiende
Donde estoy
Quizás tendrás que ver
A dónde vas
Piensalo otra vez
Entiende y ten valor
Salta y se feliz
Intenta
Para que fingir
No vale la pena
Música es lo que me das"
Cómo Conseguir Chicas,Shisyastawuman,"She's just a woman
She didn't like everything I see
She's just a woman
She was wrong to set me free

And I don't like everything she wears
And I don't like everything she said
And maybe she will never see
The track of my tears

She's just a woman
This is her song as you can see
She's just a woman
She's no friend, no enemy

And I like everything she says
And maybe she will be the one to see
The track of my tears

Everywhere I go
I see her face on the ground

And when I lose control
I keep it to myself
She doesn't want to know
The things I fear

Everywhere I go
I see her face on the ground

She's just, just a woman to me"
Filosofía Barata y Zapatos de Goma,De Mí,"Cuando estés mal, cuando estés solo
Cuando ya estés cansado de llorar
No te olvides de mí
Porque sé que te puedo estimular

Cuando me mires a los ojos
Y mi mirada esté en otro lugar
No te acerques a mí
Porque sé que te puedo lastimar

No pienses que estoy loco
Es sólo una manera de actuar
No pienses que estoy solo
Estoy comunicado con todo lo demás, por eso

Cuando estés mal, cuando estés sola
Cuando ya estés cansada de llorar
No te olvides de mí
Porque sé que te puedo estimular


No te olvides de mí
Porque sé que te puedo estimular"
Filosofía Barata y Zapatos de Goma,Filosofía Barata y Zapatos de Goma,"Conozco un empleado que fue muerto de pena
Enamorado de las sirenas
El cine de mi barrio ya me mostró la escena
No vi tu alma y quería tus venas

Y en este torbellino donde nada importa
Me sentí aliado y te perdí
Pero sí vi tus ojos y hasta comí la arena
Quise quedarme pero me fui

Filosofía barata y zapatos de goma
Ni esta mentira te hace feliz
Quise quedarme cuando morí de pena
Quise quedarme pero me fui

Y en la terminal, y en la terminal
Estoy descalzo y te espero a ti
El ómnibus se ha ido, el amor se ha vencido
Quise quedarme pero me fui

Filosofía barata y zapatos de goma
Quizás es todo lo que te dí

Quizás es todo lo que te dí


Quizás es todo lo que te dí"
Filosofía Barata y Zapatos de Goma,Reloj de Plastilina,"Una vez creí que nada iba a pasarme
Una vez pensé que nadie iba a matarme
(El tiempo pasó) Entre rayuelas y cometas
Entre un amor y bicicletas
Y aunque estuviera sólo, sabía jugar
Aunque quisiera llorar

Yo te quería amar y no sabía tu nombre (Yo te quería amar)
Te quería encontrar pero no sabía dónde
(Yo te fui a buscar) Quería que todo fuera eterno
Se fue el amor, llegó el invierno
Y anduve tiritando en cualquier lugar
Y sólo pude llorar

Alcanzar lo interminable
Rebotando en la pared
Dando vueltas en el aire
Mientras el payaso hace la red

Nadie pudo ver que el tiempo era una herida
Lástima nacer y no salir con vida

Yo quiero llorar
Reloj de plastilina, no existes más
Ya no te puedo esperar

Mientras el payaso hace la red

Salgo a caminar y sigo imaginando (Salgo a caminar y sigo imagi-)
Fui lo que creí soy lo que está pasando (Soy lo que está pasando)
(No quiero llorar) No quiero estar envuelto en penas
Siempre arrastrando estas cadenas
Si el tiempo no es amigo no importa más

Yo sólo quiero jugar

Jugar, jugar
Solo quiero ver jugar

Yo solo quiero jugar


Solo te quiero jugar
Oh-oh-oh-oh, oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh
Oh-oh-oh-oh, oh-oh-oh (Check it out, check it out, baby, check it out)
Oh-oh-oh-oh, oh-oh-oh"
Filosofía Barata y Zapatos de Goma,Gato de Metal,"Yo soy un gato de metal, vivo en un agujero
Tengo una ansiedad como de año nuevo
Nunca sé dónde estoy
Nunca sé dónde voy

Tengo miedo de la escena de la calle
Tengo miedo que en la calle no haya nadie
Esa es la rapsodia de los que decoran el tiempo (Ooh-oh)

Por eso vivo en los tejados, viajo en subterráneo
Amo a los extraños
Mi comodidad sólo es mi aventura
Nunca será igual, nunca nada dura

¿Vos te querías comprar un perro?
Pero soy un gato
¿Vos te querías comprar un perro?
Pero soy un gato"
Filosofía Barata y Zapatos de Goma,No Te Mueras en Mi Casa,"No sé qué mierda pasó en San Telmo
Aunque en verdad mucho no me interesa
Te veo deambular cual bicho enfermo
Raspándole los bordes a la mesa

Te he visto en situaciones similares
Presiento lo tremendo del momento
Se ve por tu temblor de maxilares
Que te cargaste un par de bolsas de cemento

Andá a la esquina a ver si llueve
Buscate un bar abierto que aún se puede
Tomate un whisky a ver si se te pasa
Pero por favor, no te mueras en mi casa

El barrio fue y será una porquería (Ya lo sé)
Hay pocos como yo, samaritanos
Te escucharé, primor, mas con el día
Rodarás barranca abajo por Belgrano

He visto muchos casos de epilepsia
Conozco la leyenda del colmillo
Tomemos el asunto con Asepsia
Pero por favor no te mueras en mi altillo

Taza-pasa
Cada cual a su casa
Taza-pasa
Cada cual a su casa
Ooh-ooh-ooh-ooh
(Me quedan unos segundos
Y la humedad en el piso) "
Filosofía Barata y Zapatos de Goma,Curitas,"Yo te extraño, yo te extraño
Me extraño a mí
(Estoy solo, estoy solo)
No estás aquí

La chica que esperaba era infinita
Como el bajo que perdí
Pegaba las canciones con curitas
Hay algo sangrando, hay algo que sangra porque

Yo te extraño, yo te extraño
Estoy solo, estoy solo
Ya no soy mí

Y si ya no hay más noches estrelladas ni lugares dónde ir (Gris)
La música está ya muy separada
Nadie va a grabar, nadie va a grabarme a mí


Hay veces que no puedo dormir
Hay veces que no quiero
Hay veces que me gustaría verte aquí (¡Eh!)

Todo el mundo tiene penas
Pero yo ya extraño hasta tus problemas
Quiero eco, vuelve a mí, porque

Yo te extraño

La chica que esperaba era infinita
Como el bajo que perdí
Pegaba las canciones con curitas
Y hay algo que sangra, y hay algo que sangra en mí

( hay algo que sangra )


Hay noches que no puedo dormir
Hay noches que no puedo dormir
Hay noches que no puedo dormir
Sin curitas"
Filosofía Barata y Zapatos de Goma,Solo un Poquito No Más,"Dame uno más, dame un poquito
Sólo un poquito no más
Yo quiero más
Yo necesito, sólo un poquito no más

When the New York girls came to Buenos Aires
They danced the tango all night long
Forget the plans, forget the manners
Forget everything till down

So I watched the girls walking down the streets
They look like ghost from the silver screen
And they have nowhere to go, so I asked them
Where are you going? What are you doing?
And you know what they said to me? They just said, yeah

Dame uno más, dame un poquito
Sólo un poquito no más
Yo quiero más
Yo necesito, sólo un poquito no más

Now we see the girls back in New York City
Fun, isn't cheap anymore
They have to work, take care of manners
The nights are shorter at home

I remember them walking down the street
Many years ago, even then I knew
I've seen this picture before
So I said you are no angel, you are no stranger
You are the authentic New York Blondes

Dame uno más, dame un poquito
Sólo un poquito no más
Yo quiero más
Yo necesito, sólo un poquito no más
Dame uno más, dame un poquito
Sólo un poquito no más
Yo quiero más
Sólo un poquito no más
Dame uno más
(Sólo un poquito no más)
Yo quiero más
Dame uno más, dame un poquito
Sólo un poquito no más
Yo quiero más
Yo necesito sólo un poquito no más
Sólo un poquito no más"
Filosofía Barata y Zapatos de Goma,Me Siento Mucho Mejor,"No razonar, desaparecer
Cuando tenías que estar, te echaste a correr
Lo que hiciste en mí no tiene perdón

Y yo sé que me siento mucho más fuerte
Sin tu amor

Mucho tiempo atrás (Mucho tiempo atrás)
Me hiciste sentir (Me hiciste sentir)
Que nuestro amor era más, y de esa forma vivir
No sé más quién soy (No sé más quién soy)
¿De qué te reís?

Y ahora sé que me siento mucho más fuerte
Sin tu amor
Oh, sin tu amor

No sé más qué hacer (No sé más qué hacer)
No sé qué decir (No sé qué decir)
Cuando tenías que estar, te echaste a reír
Lo que hiciste en mí (Lo que hiciste en mí), no tiene perdón

Y ahora sé que me siento mucho más fuerte
Sin tu amor
Y yo sé que me siento mucho más fuerte
Sin tu amor
Oh, sin tu amor
Oh, sin tu amor"
Filosofía Barata y Zapatos de Goma,Siempre Puedes Olvidar,"Puedo deslizar en la oscuridad
Puedo hasta eclipsar las luces
Con sólo mirar
Dicen ya entender
Mienten
Porque en el fondo este misterio
Sólo sea esta estrella
Quizás mañana alguien
Viaje para otro país
Lo podremos despedir
Dame amor hasta mañana
Hasta que te quieras ir
Siempre puedes olvidar
Puedo aterrizar sin luces
Puedo aterrizar en la oscuridad
Puedo hasta abrazar las cruces
Es sólo amor
Dices al rezar
Entra
Vamos a dar algunas vueltas por ahí
A mirar de cerca
Quizás mañana alguien viaje para este país
Lo podremos saludar
Dame amor hasta mañana
Hasta que te quieras ir
Siempre puedes olvidar"
Filosofía Barata y Zapatos de Goma,La Canción del Indeciso,"Estupidez con las manos
Bardo con los pies
Altos y enanos
Visten con la misma piel
Arengador suburbano
Dijo tente fe
Creí que era hermano
Pero siempre desconfié
Porque yo soy un indeciso
La verdad es que nunca supe bien que hacer
Estoy hasta las manos
Pero sin dormir
La parca empuja
Pero no voy a seguir
Arengador suburbano
Ya vete de aquí
Si me margino
Me margino porque sí
Porque yo soy un indeciso
La verdad es que nunca supe bien qué hacer
No pienses que estoy loco
Es sólo una manera de actuar
No pienses que estoy solo
Estoy comunicado con todo lo demás
Te siguen hasta los perros
Pero sin morder
Me das los hongos
Pero no voy a comer
Arengador suburbano
Dijo tente fe
Porque yo soy un indeciso
La verdad es que nunca supe bien que hacer
Estupidez con las manos
Bardo con los pies
Altos y enanos
Visten con la misma piel
Arengador suburbano
Dijo tente fe
Creí que era hermano
Pero siempre desconfié
Porque yo soy un indeciso
La verdad es que nunca supe bien que hacer
Porque yo soy un indeciso
La verdad es que nunca supe bien que hacer
Supe bien que hacer
Supe bien que hacer"
Filosofía Barata y Zapatos de Goma,Himno Nacional Argentino,"Oíd, mortales, el grito sagrado
¡Libertad, libertad, libertad!
Oíd el ruido de rotas cadenas
Ved el trono a la noble igualdad
Ya su trono dignísimo abrieron
Las Provincias Unidas del Sur
Y los libres del mundo responden
Al gran pueblo argentino, ¡salud!
Al gran pueblo argentino, ¡salud!
Y los libres del mundo responden
Al gran pueblo argentino, ¡salud!
Y los libres del mundo responden
Al gran pueblo argentino, ¡salud!
Sean eternos los laureles
Que supimos conseguir
Que supimos conseguir
Coronados de gloria vivamos
O juremos con gloria morir!
¡O juremos con gloria morir!
¡O juremos con gloria morir!
Y juremos con gloria vivir"
